time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003809,-0.3981,0.3013,-2.6724,2.719
0.004443,-0.1983,0.0955,-2.0545,2.066
0.004651,-0.1040,-0.0857,-1.2384,1.246
0.011296,-0.0096,-0.1850,-0.4085,0.449
0.013915,0.0656,-0.2483,0.2366,0.349
0.019396,0.0906,-0.2781,0.7255,0.782
0.026945,0.0867,-0.2793,1.0867,1.125
0.032096,0.0850,-0.1970,1.2218,1.240
0.034815,-0.0654,-0.0841,1.0974,1.103
0.040207,-0.1607,0.0164,0.8144,0.830
0.044199,-0.2180,0.1163,0.4401,0.505
0.049768,-0.2514,0.1870,0.1540,0.349
0.054176,-0.2922,0.2645,0.0518,0.398
0.062267,-0.2877,0.2845,-0.0125,0.405
0.064092,-0.2785,0.2853,0.0378,0.401
0.069433,-0.2693,0.2477,0.1645,0.401
0.074281,-0.2624,0.1761,0.3224,0.451
0.079716,-0.2387,0.0924,0.3991,0.474
0.084751,-0.2054,-0.0204,0.3946,0.445
0.089641,-0.1409,-0.0710,0.2587,0.303
0.094683,-0.0860,-0.1427,0.0226,0.168
0.100398,0.0645,-0.2425,-0.2563,0.359
0.104898,0.2579,-0.3721,-0.6087,0.759
0.110169,0.5253,-0.4908,-1.0249,1.252
0.114720,0.7829,-0.6055,-1.4184,1.730
0.120717,1.0859,-0.6705,-1.6791,2.109
0.124961,1.3288,-0.6356,-1.8693,2.380
0.129804,1.5215,-0.5680,-1.9340,2.525
0.135515,1.5899,-0.4320,-1.7935,2.435
0.140758,1.6233,-0.3120,-1.4759,2.216
0.145214,1.6168,-0.2013,-1.0072,1.915
0.150115,1.5087,-0.0952,-0.4469,1.576
0.155115,1.3729,-0.1063,0.1422,1.384
0.160715,1.2191,-0.1582,0.6042,1.370
0.165379,1.0086,-0.2722,0.9241,1.395
0.170436,0.7292,-0.4339,1.0195,1.326
0.175315,0.4381,-0.4995,0.8683,1.093
0.180769,0.1617,-0.5217,0.5933,0.806
0.186055,-0.0114,-0.5127,0.3477,0.620
0.190849,-0.1962,-0.4772,0.2536,0.575
0.195849,-0.3449,-0.4225,0.2817,0.614
0.200958,-0.4743,-0.3255,0.3792,0.689
0.205940,-0.5511,-0.2127,0.5289,0.793
0.211472,-0.6089,-0.0892,0.6894,0.924
0.215775,-0.6143,0.0400,0.7410,0.963
0.222028,-0.5219,0.1007,0.7314,0.904
0.227193,-0.4061,0.1938,0.5676,0.724
0.231032,-0.2978,0.2816,0.3745,0.555
0.236139,-0.2256,0.3978,0.2578,0.525
0.242041,-0.1823,0.5426,0.1319,0.587
0.245945,-0.1293,0.6492,0.0284,0.663
0.251575,-0.0715,0.7441,0.0331,0.748
0.256043,-0.0378,0.8440,0.1503,0.858
0.261995,0.0174,0.9322,0.2194,0.958
0.266057,0.0699,0.9010,0.3359,0.964
0.271415,0.1580,0.8701,0.4109,0.975
0.277214,0.2410,0.8132,0.4279,0.950
0.284423,0.3406,0.7186,0.4041,0.892
0.286553,0.3970,0.6151,0.4311,0.850
0.291926,0.4917,0.5698,0.4180,0.861
0.296564,0.4763,0.5110,0.4750,0.845
0.302155,0.4418,0.4100,0.4820,0.772
0.306463,0.3857,0.3122,0.4387,0.662
0.311703,0.3750,0.2630,0.4265,0.626
0.316629,0.3689,0.2026,0.3587,0.553
0.322284,0.3171,0.1169,0.2834,0.441
0.327246,0.2795,0.0752,0.2389,0.375
0.331831,0.1891,0.0533,0.2060,0.285
0.337239,0.1585,0.0249,0.1297,0.206
0.342195,0.1134,-0.0006,0.0582,0.127
0.346936,0.1233,-0.0759,0.0372,0.150
0.351972,0.1667,-0.1076,0.0571,0.206
0.357324,0.1837,-0.1698,0.0534,0.256
0.363013,0.1433,-0.1980,0.0838,0.258
0.367101,0.1342,-0.2093,0.1008,0.268
0.372351,0.0918,-0.2514,0.0520,0.273
0.377943,0.0116,-0.2674,0.0244,0.269
0.382418,-0.0466,-0.2285,-0.0273,0.235
0.387341,-0.0565,-0.2091,-0.0432,0.221
0.392211,-0.0493,-0.2139,-0.0788,0.233
0.397363,-0.0323,-0.2042,-0.1056,0.232
0.402736,0.0015,-0.1607,-0.0618,0.172
0.407400,0.0353,-0.1166,0.0332,0.126
0.412676,0.0665,-0.0431,0.1598,0.178
0.417440,0.1358,0.0119,0.2986,0.328
0.422738,0.1880,0.0653,0.4130,0.458
0.427502,0.2589,0.1220,0.5292,0.602
0.434074,0.3031,0.1793,0.5637,0.665
0.438154,0.3350,0.1800,0.6408,0.745
0.444324,0.3762,0.1863,0.6795,0.799
0.447815,0.4338,0.1646,0.6345,0.786
0.452955,0.4767,0.1774,0.5898,0.779
0.457875,0.4668,0.1763,0.5290,0.727
0.463510,0.4545,0.1925,0.4286,0.654
0.467913,0.4349,0.2379,0.4227,0.652
0.473037,0.4177,0.2622,0.3891,0.628
0.479602,0.4386,0.2629,0.3277,0.607
0.483276,0.4474,0.3072,0.3030,0.622
0.488495,0.5085,0.2755,0.3102,0.656
0.494462,0.4689,0.2973,0.2463,0.607
0.498309,0.4338,0.3318,0.2429,0.598
0.503924,0.4416,0.3287,0.1760,0.578
0.508256,0.4492,0.3452,0.1172,0.579
0.513602,0.4063,0.3389,0.0839,0.536
0.518222,0.3727,0.3812,0.0236,0.534
0.524256,0.3318,0.3834,0.0128,0.507
0.528573,0.3003,0.3959,-0.0563,0.500
0.533532,0.2971,0.4353,-0.0831,0.534
0.538904,0.2602,0.4683,-0.0723,0.541
0.544065,0.2587,0.4731,-0.0795,0.545
0.548754,0.2378,0.4784,-0.1330,0.551
0.554109,0.2428,0.4793,-0.1346,0.554
0.558894,0.3168,0.4758,-0.1154,0.583
0.564606,0.3760,0.4822,-0.1232,0.624
0.568852,0.4466,0.4794,-0.1218,0.666
0.573854,0.5118,0.4219,-0.0708,0.667
0.578789,0.6361,0.3553,-0.0683,0.732
0.584359,0.7406,0.3037,-0.0994,0.807
0.589502,0.8060,0.2672,-0.0923,0.854
0.594144,0.8036,0.2554,-0.0972,0.849
0.599088,0.8267,0.2440,-0.0856,0.866
0.604398,0.7916,0.2069,-0.0337,0.819
0.609217,0.8130,0.1632,-0.0260,0.830
0.614584,0.8023,0.1296,-0.0627,0.815
0.619372,0.7812,0.0702,-0.0721,0.788
0.624747,0.7590,0.0184,-0.0734,0.763
0.629816,0.6330,-0.0232,-0.1196,0.645
0.634330,0.4965,-0.0808,-0.1077,0.514
0.639770,0.3614,-0.0970,-0.0116,0.374
0.645116,0.1680,-0.1485,-0.0014,0.224
0.650796,-0.0814,-0.1658,-0.0051,0.185
0.654681,-0.3054,-0.1632,0.0062,0.346
0.659600,-0.5925,-0.1148,-0.0129,0.604
0.665691,-0.8589,-0.1143,0.1339,0.877
0.670314,-1.0493,-0.0471,0.2091,1.071
0.675090,-1.2140,-0.0547,0.2745,1.246
0.679850,-1.4249,-0.0010,0.2497,1.447
0.685463,-1.5668,0.0776,0.2445,1.588
0.690044,-1.6803,0.1159,0.2824,1.708
0.694897,-1.7203,0.1697,0.3908,1.772
