time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003404,0.0401,-0.0098,-0.4098,0.412
0.004223,0.0544,-0.0254,-0.3038,0.310
0.005360,0.0301,-0.0661,-0.2064,0.219
0.019739,-0.0117,-0.0797,-0.0815,0.115
0.020296,-0.0570,-0.1357,0.0088,0.147
0.020476,-0.0729,-0.1484,0.0913,0.189
0.025060,-0.0576,-0.1185,0.1588,0.206
0.030563,-0.0901,-0.1013,0.1784,0.224
0.035641,-0.0632,-0.0797,0.1719,0.200
0.040527,-0.0225,-0.0468,0.1299,0.140
0.045277,0.0176,0.0164,0.1168,0.119
0.051470,0.0287,0.0218,0.1420,0.147
0.055878,0.0110,0.0532,0.0886,0.104
0.060658,-0.0141,0.0818,0.0096,0.084
0.067454,-0.0156,0.0934,-0.0259,0.098
0.071006,-0.0009,0.0838,-0.1015,0.132
0.075613,-0.0077,0.0746,-0.1623,0.179
0.080898,0.0235,0.0588,-0.1657,0.177
0.085858,0.0021,0.0575,-0.1430,0.154
0.090922,0.0096,0.0470,-0.1942,0.200
0.095726,-0.0137,-0.0082,-0.1857,0.186
0.101070,-0.0152,-0.0034,-0.1702,0.171
0.106002,-0.0071,-0.0127,-0.2190,0.220
0.111621,-0.0557,-0.0359,-0.2343,0.244
0.116444,-0.0537,-0.0517,-0.2804,0.290
0.121088,-0.0249,-0.0454,-0.2907,0.295
0.127300,-0.0410,-0.0673,-0.2559,0.268
0.131907,-0.0089,-0.0411,-0.2548,0.258
0.136136,0.0376,-0.0219,-0.1897,0.195
0.141150,0.0058,-0.0408,-0.1609,0.166
0.146337,0.0035,-0.0261,-0.1847,0.187
0.152220,0.0137,0.0145,-0.2154,0.216
0.156411,-0.0255,-0.0163,-0.1105,0.115
0.163340,-0.0074,-0.0109,0.0195,0.024
0.166913,-0.0232,0.0347,0.0796,0.090
0.172077,-0.0606,0.0368,0.1418,0.159
0.177738,-0.0678,0.0146,0.1609,0.175
0.184156,-0.1001,-0.0052,0.1753,0.202
0.186840,-0.1124,0.0053,0.2706,0.293
0.191855,-0.0741,-0.0064,0.2468,0.258
0.196742,-0.0731,-0.0185,0.1236,0.145
0.202191,-0.0635,0.0045,-0.0292,0.070
0.207174,-0.0708,-0.0322,-0.1473,0.167
0.212320,-0.0473,-0.0444,-0.1459,0.160
0.217045,-0.0237,-0.0302,-0.1564,0.161
0.221797,0.0073,-0.0447,-0.1145,0.123
0.227574,0.0502,-0.0612,-0.0019,0.079
0.232790,0.0787,-0.0467,0.0409,0.100
0.236863,0.1121,-0.0277,0.0905,0.147
0.242080,0.1241,-0.0209,0.0803,0.149
0.247775,0.0717,-0.0050,0.0869,0.113
0.252827,0.0292,-0.0108,0.0436,0.054
0.257497,0.0177,-0.0093,-0.0064,0.021
0.262482,-0.0458,0.0232,-0.0466,0.069
0.267800,-0.0614,-0.0085,-0.1482,0.161
0.272596,-0.0435,-0.0586,-0.1541,0.171
0.277878,0.0029,-0.0414,-0.1339,0.140
0.292739,0.0678,-0.0432,-0.0759,0.111
0.293124,0.0991,-0.0518,-0.0613,0.128
0.293313,0.1138,-0.0318,-0.0491,0.128
0.298116,0.0473,0.0001,-0.0348,0.059
0.303159,0.0384,-0.0373,-0.0228,0.058
0.307744,-0.0110,-0.0293,0.0317,0.045
0.313136,0.0041,-0.0051,0.0480,0.048
0.317907,0.0520,0.0426,0.0262,0.072
0.323079,0.0353,0.0449,0.0163,0.059
0.327635,-0.0001,0.0612,-0.0504,0.079
0.333308,0.0129,0.0347,-0.1285,0.134
0.338010,0.0356,0.0491,-0.1467,0.159
0.342915,0.0508,0.0708,-0.0175,0.089
0.348328,0.0255,0.0877,0.0679,0.114
0.353304,0.0667,0.0330,0.0575,0.094
0.358013,0.0336,0.0119,0.0545,0.065
0.363698,0.0412,0.0215,0.0420,0.063
0.369532,0.0414,0.0072,0.0416,0.059
0.373886,0.0463,0.0072,0.0293,0.055
0.378579,0.0630,0.0190,-0.0066,0.066
0.385751,0.0130,0.0115,-0.0113,0.021
0.388829,0.0443,0.0112,-0.0112,0.047
0.394423,0.0704,0.0182,0.0079,0.073
0.401170,0.0440,0.0225,0.0293,0.057
0.403648,0.0583,0.0387,0.0528,0.088
0.408748,0.1033,0.0121,0.0571,0.119
0.414195,0.1382,-0.0238,0.0709,0.157
0.419196,0.0800,-0.0165,0.0395,0.091
0.423795,0.0246,-0.0188,-0.0273,0.041
0.429312,0.0339,-0.0330,-0.0437,0.064
0.433987,0.0717,-0.0328,-0.0790,0.112
0.439543,0.0950,0.0102,-0.0950,0.135
0.444275,0.0920,-0.0160,-0.0918,0.131
0.449615,0.0776,0.0199,-0.0935,0.123
0.454266,0.0871,-0.0016,-0.0857,0.122
0.459569,0.0468,-0.0109,-0.0566,0.074
0.464333,0.0662,0.0131,-0.0301,0.074
0.469591,0.0401,-0.0153,-0.0014,0.043
0.474408,0.0284,-0.0126,0.0294,0.043
0.479452,0.0592,-0.0121,0.0694,0.092
0.484820,0.0444,-0.0378,0.0521,0.078
0.489424,-0.0084,-0.0253,0.0872,0.091
0.494562,-0.0207,-0.0057,0.0413,0.047
0.499848,-0.0235,-0.0145,-0.0043,0.028
0.504513,-0.0287,-0.0232,-0.0400,0.054
0.509880,-0.0197,-0.0222,-0.0399,0.050
0.515544,0.0393,-0.0519,-0.0469,0.080
0.519952,0.0909,-0.0744,-0.0443,0.126
0.524595,0.1018,-0.0542,-0.0179,0.117
0.529864,0.1530,-0.0653,-0.0059,0.166
0.535550,0.1110,-0.0360,-0.0273,0.120
0.539907,0.0719,-0.0547,-0.0793,0.120
0.544696,0.0925,0.0047,-0.1023,0.138
0.549954,0.0748,0.0282,-0.1061,0.133
0.555688,0.0834,0.0348,-0.1265,0.156
0.560251,0.1134,0.0652,-0.1278,0.183
0.565307,0.0929,0.0383,-0.1076,0.147
0.570806,0.0726,0.0663,-0.1113,0.149
0.575769,0.0926,0.0728,-0.1341,0.178
0.580284,0.0910,0.0677,-0.1139,0.161
0.585701,0.0751,0.0744,-0.1106,0.153
0.590289,0.0687,0.0433,-0.1216,0.146
0.595356,0.0814,0.0365,-0.0708,0.114
0.600563,0.1104,0.0369,-0.0299,0.120
0.605262,0.0847,0.0682,-0.0274,0.112
0.611666,0.1092,0.0423,0.0203,0.119
0.616137,0.0766,0.0071,0.0865,0.116
0.620391,0.1013,0.0340,0.0951,0.143
0.625444,0.0735,0.0131,0.1559,0.173
0.631134,0.0579,-0.0221,0.1854,0.196
0.635990,0.0497,0.0187,0.1791,0.187
0.640723,0.0465,-0.0076,0.1729,0.179
0.645564,0.0908,-0.0030,0.1360,0.163
0.650913,0.0990,0.0228,0.1112,0.151
0.656078,0.0740,0.0054,0.0701,0.102
0.661570,0.1089,0.0212,0.0246,0.114
0.665873,0.0558,0.0416,-0.0253,0.074
0.671088,0.0344,0.0715,-0.0701,0.106
0.676126,0.0109,0.0584,-0.0741,0.095
0.681281,0.0305,0.0123,-0.0497,0.060
0.686528,0.0641,0.0592,-0.0231,0.090
0.691336,0.0784,0.0416,0.0223,0.092
0.697315,0.0733,0.0193,-0.0252,0.080
0.701708,0.0655,0.0237,-0.0392,0.080
0.707082,0.0574,0.0422,-0.0388,0.081
0.711866,0.0824,0.0486,-0.1119,0.147
0.716984,0.1068,0.0149,-0.1370,0.174
0.721530,0.1263,-0.0041,-0.1382,0.187
0.726497,0.1291,0.0200,-0.1394,0.191
0.731772,0.1153,-0.0035,-0.1621,0.199
0.737159,0.1467,0.0234,-0.1537,0.214
0.741620,0.1591,0.0144,-0.0789,0.178
0.746798,0.1693,-0.0087,-0.0547,0.178
0.752785,0.1606,-0.0413,-0.0757,0.182
0.757409,0.1262,-0.0241,-0.0467,0.137
0.761848,0.1588,-0.0187,-0.0512,0.168
0.766900,0.1461,-0.0467,-0.0129,0.154
0.771718,0.1360,-0.0650,0.0084,0.151
0.776823,0.1310,-0.0452,-0.0155,0.139
0.782450,0.1615,-0.0019,0.0130,0.162
0.787381,0.1133,-0.0400,-0.0156,0.121
0.792216,0.1107,-0.0517,0.0058,0.122
0.797437,0.1223,-0.0347,-0.0085,0.127
0.802493,0.0909,-0.0227,-0.0346,0.100
0.807235,0.0096,-0.0297,-0.0485,0.058
0.812527,0.0217,-0.0553,-0.0316,0.067
0.817754,0.0027,-0.0260,-0.0694,0.074
0.822355,0.0384,-0.0586,-0.0832,0.109
0.827286,0.0001,-0.0693,-0.1017,0.123
0.832878,0.0144,-0.0630,-0.1297,0.145
0.837929,0.0024,-0.0450,-0.1312,0.139
0.842592,0.0168,-0.0815,-0.1470,0.169
0.847791,0.0549,-0.0938,-0.1343,0.173
0.853163,0.0572,-0.0988,-0.1478,0.187
0.859012,0.0833,-0.0777,-0.1565,0.194
0.863134,0.0880,-0.0683,-0.1509,0.188
0.868128,0.1024,-0.0877,-0.1359,0.191
0.872811,0.1095,-0.0546,-0.1210,0.172
0.878991,0.1166,-0.0334,-0.1015,0.158
0.883438,0.1235,-0.0101,-0.0679,0.141
0.888190,0.1018,-0.0298,-0.0773,0.131
0.892799,0.1374,-0.0111,-0.1105,0.177
0.898613,0.1182,-0.0138,-0.0888,0.148
0.903173,0.1253,0.0215,-0.1124,0.170
0.908119,0.1563,0.0304,-0.1620,0.227
0.913479,0.1230,0.0275,-0.1447,0.192
0.918853,0.1021,0.0249,-0.1157,0.156
0.923247,0.1266,0.0106,-0.0681,0.144
0.928881,0.1104,-0.0083,-0.0731,0.133
0.933415,0.0801,-0.0222,-0.0353,0.090
0.938974,0.0760,-0.0028,0.0188,0.078
0.943415,0.0647,-0.0123,0.0369,0.076
0.948554,0.0771,-0.0124,0.0170,0.080
0.953639,0.0891,0.0111,-0.0051,0.090
0.959014,0.1175,0.0105,-0.0460,0.127
0.964072,0.1146,-0.0046,-0.0248,0.117
0.968950,0.0976,-0.0172,-0.0322,0.104
0.973931,0.0856,-0.0010,-0.0799,0.117
0.981875,0.1285,-0.0064,-0.0798,0.151
0.983795,0.1380,0.0051,-0.1201,0.183
0.989354,0.1548,0.0049,-0.1032,0.186
0.994006,0.1049,0.0023,-0.0555,0.119
0.999833,0.0769,0.0071,0.0131,0.078
1.003977,0.0965,0.0189,-0.0281,0.102
1.009153,0.1204,-0.0049,-0.0072,0.121
1.014149,0.1391,-0.0191,0.0254,0.143
1.020239,0.1909,-0.0380,-0.0088,0.195
1.023942,0.2159,-0.0664,-0.0663,0.235
1.029368,0.2336,-0.0636,-0.0521,0.248
1.034394,0.2251,-0.0515,-0.0285,0.233
1.039874,0.2357,-0.0396,0.0020,0.239
1.044170,0.1514,-0.0089,-0.0437,0.158
1.050744,0.1440,0.0073,-0.0391,0.149
1.054564,0.1699,0.0137,-0.0512,0.178
1.059810,0.1741,0.0436,-0.0536,0.187
1.064733,0.1733,0.0495,-0.0631,0.191
1.069641,0.1413,0.0362,0.0392,0.151
1.074565,0.1656,0.0086,0.0813,0.185
1.082354,0.1510,0.0166,0.0972,0.180
1.085055,0.1855,0.0099,0.1202,0.221
1.089834,0.1787,-0.0135,0.1312,0.222
1.094578,0.2071,-0.0177,0.0876,0.226
1.099991,0.2158,-0.0410,0.0444,0.224
1.104647,0.2362,-0.0547,0.0063,0.243
1.109856,0.2047,-0.0778,-0.1479,0.264
1.115312,0.2261,-0.1170,-0.0894,0.270
1.120431,0.2307,-0.1152,0.0112,0.258
1.125160,0.2227,-0.0897,0.0540,0.246
1.130043,0.2643,-0.0861,0.0467,0.282
1.135418,0.3051,-0.0710,0.0063,0.313
1.140672,0.2576,-0.0822,-0.1026,0.289
1.146186,0.2439,-0.1219,-0.1179,0.297
1.150574,0.3040,-0.1186,-0.1663,0.366
1.155369,0.3140,-0.0487,-0.1788,0.365
1.161059,0.3147,-0.0790,-0.2197,0.392
1.165624,0.3131,-0.0614,-0.1534,0.354
1.170410,0.2686,-0.0390,-0.0853,0.285
1.175326,0.3073,-0.1117,-0.2079,0.387
1.180645,0.3792,-0.1434,-0.2510,0.477
1.185619,0.3824,-0.0822,-0.1941,0.437
1.190861,0.3481,-0.0402,-0.1758,0.392
1.196289,0.3734,-0.0554,-0.1672,0.413
1.200786,0.3487,-0.0254,-0.1895,0.398
1.205732,0.3125,-0.0193,-0.0550,0.318
1.210674,0.3122,-0.0015,-0.0806,0.322
1.216021,0.2332,0.0020,-0.1179,0.261
1.221221,0.1617,0.0176,-0.1027,0.192
1.225833,0.1694,-0.0167,0.0050,0.170
1.230958,0.2034,-0.0247,0.0809,0.220
1.236107,0.2319,-0.0828,0.0162,0.247
1.241367,0.2912,-0.1314,-0.0764,0.328
1.246273,0.3072,-0.0847,-0.0851,0.330
1.251312,0.3037,-0.0909,-0.0627,0.323
1.256145,0.2634,-0.0638,0.0143,0.271
1.261493,0.1488,-0.0585,-0.0303,0.163
1.266652,0.1726,-0.0606,-0.0530,0.191
1.271319,0.2486,-0.0753,0.0100,0.260
1.276292,0.2615,-0.0687,-0.0080,0.271
1.282560,0.2475,-0.0243,-0.0923,0.265
1.286999,0.2383,-0.0518,-0.1330,0.278
1.291955,0.1718,-0.0364,-0.1282,0.217
1.296772,0.1860,0.0193,-0.1875,0.265
1.304575,0.1142,0.0105,-0.1869,0.219
1.306780,0.1255,-0.0359,-0.1744,0.218
1.311547,0.1717,-0.0317,-0.1976,0.264
1.317023,0.1766,-0.0322,-0.2610,0.317
1.322520,0.1696,-0.0536,-0.3168,0.363
1.326862,0.2243,-0.0485,-0.3175,0.392
1.331766,0.2520,-0.0667,-0.2589,0.367
1.336930,0.2481,-0.0656,-0.1770,0.312
1.342591,0.2438,-0.0882,-0.2026,0.329
1.346844,0.2464,-0.1224,-0.1924,0.336
1.352076,0.2485,-0.1516,-0.1488,0.327
1.357104,0.2761,-0.1427,-0.1720,0.355
1.363361,0.2981,-0.1436,-0.2828,0.435
1.367287,0.2438,-0.1017,-0.3807,0.463
1.372264,0.2042,-0.0886,-0.4683,0.519
1.377329,0.1625,-0.1226,-0.5196,0.558
1.382753,0.1641,-0.1416,-0.5160,0.560
1.387445,0.1184,-0.1221,-0.5149,0.542
1.392248,0.0801,-0.1097,-0.4900,0.508
1.399655,0.1035,-0.1086,-0.5557,0.576
1.403500,0.0813,-0.1069,-0.5592,0.575
1.408127,0.0430,-0.0859,-0.6174,0.625
1.413990,0.0912,-0.1147,-0.6064,0.624
1.418323,0.1655,-0.1380,-0.5909,0.629
1.423744,0.2346,-0.1226,-0.5376,0.599
1.427687,0.2932,-0.0949,-0.4967,0.585
1.432957,0.4269,-0.0883,-0.3802,0.578
1.438605,0.3948,-0.1168,-0.3026,0.511
1.443468,0.3598,-0.1351,-0.4418,0.586
1.448270,0.4365,-0.1818,-0.4847,0.677
1.453412,0.5221,-0.1545,-0.2968,0.620
1.458587,0.4879,-0.1533,-0.2482,0.568
1.464037,0.4223,-0.1423,-0.3615,0.574
1.468297,0.3803,-0.1759,-0.4667,0.627
1.473536,0.3885,-0.1899,-0.5425,0.694
1.478605,0.4232,-0.2081,-0.5537,0.727
1.484870,0.3917,-0.2519,-0.5340,0.709
1.489495,0.2706,-0.2354,-0.5385,0.647
1.493588,0.2242,-0.1851,-0.5287,0.603
1.499106,0.2426,-0.1872,-0.4907,0.579
1.505493,0.1968,-0.1962,-0.4031,0.490
1.508723,0.2321,-0.2620,-0.2639,0.438
1.516889,0.2141,-0.2201,-0.3538,0.469
1.520824,0.1836,-0.1711,-0.3978,0.470
1.524500,0.2123,-0.1583,-0.4079,0.486
1.531104,0.2354,-0.1694,-0.4058,0.499
1.534548,0.2838,-0.1993,-0.3537,0.495
1.539485,0.1932,-0.1528,-0.3708,0.445
1.544017,0.1125,-0.1971,-0.4802,0.531
1.548813,0.3979,-0.3053,-0.6384,0.812
1.554766,0.5431,-0.2698,-0.6788,0.910
1.559373,0.5756,-0.2033,-0.6454,0.888
1.564466,0.6364,-0.1894,-0.7119,0.974
1.569477,0.6492,-0.1707,-0.7447,1.003
1.574198,0.6997,-0.1282,-0.7319,1.021
1.581053,0.6883,-0.1167,-0.7858,1.051
1.585219,0.6513,-0.1264,-0.8013,1.040
1.589940,0.6032,-0.1240,-0.8809,1.075
1.594452,0.6394,-0.1520,-0.9031,1.117
1.599619,0.6809,-0.1461,-0.7400,1.016
1.604863,0.6185,-0.1404,-0.6092,0.879
1.609730,0.5386,-0.0993,-0.5367,0.767
1.614747,0.5051,-0.0965,-0.4341,0.673
1.619992,0.4935,-0.1081,-0.3774,0.631
1.624953,0.4301,-0.1174,-0.3640,0.576
1.629894,0.4394,-0.1412,-0.3389,0.573
1.634961,0.4875,-0.1580,-0.2072,0.553
1.640212,0.4762,-0.1348,-0.1526,0.518
1.645064,0.4199,-0.1051,-0.1767,0.468
1.650778,0.4310,-0.0976,-0.1697,0.473
1.655532,0.4470,-0.0931,-0.2387,0.515
1.660485,0.5059,-0.0772,-0.3451,0.617
1.665762,0.5104,-0.0951,-0.3984,0.654
1.670426,0.5037,-0.1013,-0.4181,0.662
1.675143,0.5189,-0.0791,-0.4663,0.702
1.681465,0.5274,-0.0524,-0.5901,0.793
1.685475,0.5244,-0.0569,-0.6631,0.847
1.690835,0.5483,-0.0710,-0.7381,0.922
1.695206,0.5492,-0.0682,-0.8483,1.013
1.700523,0.5363,-0.0607,-0.8627,1.018
1.706292,0.5072,-0.0864,-0.9080,1.044
1.710616,0.4647,-0.1192,-1.0171,1.125
1.715674,0.4470,-0.1520,-1.0542,1.155
1.720796,0.4349,-0.1777,-1.0935,1.190
1.726012,0.3736,-0.1298,-1.1516,1.218
1.731365,0.2394,-0.1446,-1.1854,1.218
1.735764,0.1542,-0.1098,-1.2474,1.262
1.741041,0.0702,-0.0975,-1.2282,1.234
1.745980,-0.0033,-0.1395,-1.2751,1.283
1.751067,-0.0910,-0.1319,-1.3385,1.348
1.761563,-0.1648,-0.1538,-1.4351,1.453
1.762226,-0.1984,-0.1024,-1.5599,1.576
1.766484,-0.2159,-0.0970,-1.6915,1.708
1.771277,-0.2126,-0.1064,-1.8585,1.874
1.775879,-0.1861,-0.1160,-1.9915,2.004
1.781274,-0.0504,0.0034,-2.0044,2.005
1.786440,-0.1333,-0.0092,-2.2755,2.279
1.791249,-0.3289,-0.1654,-2.2710,2.301
1.796296,-0.2217,-0.1776,-2.2925,2.310
1.801481,-0.1140,-0.1175,-2.4475,2.453
1.807572,-0.2447,-0.0186,-2.6163,2.628
1.811583,-0.3593,0.0258,-2.6747,2.699
1.816360,-0.3022,0.0134,-2.7257,2.742
1.821611,-0.2222,0.0259,-2.7622,2.771
1.826603,-0.1772,0.0061,-2.7290,2.735
1.831574,-0.1889,-0.0149,-2.6070,2.614
1.837050,-0.1766,-0.0082,-2.6497,2.656
1.841770,-0.2071,0.0497,-2.5555,2.564
1.847080,-0.1344,0.0273,-2.3987,2.403
1.852095,-0.0379,-0.0108,-2.1935,2.194
1.856899,0.0197,-0.0336,-2.0570,2.057
1.862244,0.0740,-0.0198,-1.9939,1.995
1.867780,0.1525,-0.0559,-2.0186,2.025
1.873199,0.2152,-0.0676,-1.9279,1.941
1.877160,0.3144,-0.1982,-1.8918,1.928
1.884191,0.4405,-0.3182,-1.7904,1.871
1.889771,0.5502,-0.3559,-1.7745,1.892
1.891946,0.6437,-0.3538,-1.8131,1.956
1.898637,0.7234,-0.3740,-1.8414,2.013
1.904914,0.8334,-0.4137,-1.8814,2.099
1.907791,1.0557,-0.4444,-1.8927,2.212
1.913095,1.2542,-0.5236,-1.8489,2.295
1.917216,1.3820,-0.5535,-1.8224,2.353
1.922077,1.5405,-0.5583,-1.8994,2.508
1.927254,1.6591,-0.5955,-1.9488,2.628
1.934226,1.7005,-0.6791,-1.9686,2.689
1.937922,1.7421,-0.7067,-2.0046,2.748
1.942822,1.7701,-0.7383,-1.9805,2.757
1.948541,1.7391,-0.7597,-1.9419,2.715
1.952768,1.6103,-0.7520,-1.8478,2.564
1.959447,1.3879,-0.6721,-1.7580,2.338
1.962651,1.1189,-0.5845,-1.6982,2.116
1.967902,0.8315,-0.5613,-1.6300,1.914
1.972812,0.5777,-0.4993,-1.6488,1.817
1.977450,0.3667,-0.5161,-1.6204,1.740
1.982551,0.2557,-0.4965,-1.5686,1.665
1.988496,0.2277,-0.4413,-1.5389,1.617
1.992570,0.1749,-0.3867,-1.5287,1.587
1.999768,0.2769,-0.3283,-1.6769,1.731
2.002996,0.3620,-0.2763,-1.9189,1.972
2.008214,0.3637,-0.2636,-2.1209,2.168
2.013054,0.3615,-0.1966,-2.2735,2.310
2.018032,0.3623,-0.1233,-2.2451,2.277
2.022974,0.3395,-0.0246,-2.2534,2.279
2.027921,0.3794,0.0872,-2.2937,2.327
2.032981,0.4771,0.1090,-2.2894,2.341
2.038242,0.5393,0.0982,-2.3122,2.376
2.043333,0.5916,0.1261,-2.2972,2.376
2.048876,0.6286,0.1953,-2.3232,2.415
2.053825,0.6094,0.2460,-2.1794,2.276
2.058786,0.5834,0.2614,-2.1409,2.234
2.063713,0.5814,0.2630,-2.1740,2.266
2.069370,0.5703,0.2724,-2.1615,2.252
2.073872,0.5068,0.3230,-2.2349,2.314
2.079663,0.5084,0.3718,-2.2315,2.319
2.083839,0.5126,0.4980,-2.1777,2.292
2.089824,0.6510,0.5461,-2.2291,2.386
2.093886,0.8549,0.5355,-2.2423,2.459
2.099119,1.2207,0.4828,-2.1338,2.505
2.104673,1.7028,0.4094,-1.9253,2.603
2.110403,2.0784,0.3891,-1.6528,2.684
2.114398,2.2909,0.3544,-1.6514,2.846
2.119711,2.4428,0.3379,-1.5360,2.905
2.124090,2.5591,0.2430,-1.4075,2.931
2.129309,2.5659,0.1966,-1.2516,2.862
2.133981,2.4630,0.2752,-1.0991,2.711
2.139430,2.4406,0.3041,-1.0786,2.686
2.144020,2.4548,0.3268,-1.3310,2.811
2.149329,2.3408,0.3751,-1.7122,2.924
2.154429,2.2880,0.3995,-1.8610,2.976
2.160060,2.3309,0.4411,-2.0689,3.148
2.165525,2.3463,0.5003,-2.1587,3.227
2.169942,2.2830,0.5130,-2.2857,3.271
2.174619,2.1430,0.5131,-2.4379,3.286
2.179817,2.1990,0.4961,-2.5721,3.420
2.184736,2.3027,0.4431,-2.5736,3.482
2.191133,2.3942,0.3783,-2.4760,3.465
2.194804,2.5551,0.3398,-2.4256,3.539
2.200233,2.7566,0.2918,-2.4341,3.689
2.204948,3.0515,0.2177,-2.4705,3.932
2.210121,3.4183,0.0815,-2.6137,4.304
2.218807,3.8335,-0.0875,-2.6411,4.656
2.222437,4.3134,-0.2198,-2.4835,4.982
2.225195,4.7681,-0.3584,-2.0740,5.212
2.231711,5.1097,-0.5330,-1.7141,5.416
2.234945,5.2802,-0.6028,-1.5949,5.549
2.240725,5.3896,-0.6908,-1.7522,5.709
2.245094,5.4069,-0.7342,-2.0469,5.828
2.250646,5.3110,-0.8849,-2.3498,5.875
2.256139,5.1275,-0.9908,-2.6684,5.865
2.260431,4.8281,-1.1083,-2.8617,5.721
2.265878,4.6158,-1.2893,-2.8271,5.564
2.270849,4.5621,-1.5309,-2.7493,5.542
2.275483,4.5569,-1.7687,-2.6907,5.580
2.280755,4.4610,-1.9502,-2.3618,5.411
2.285993,4.2660,-2.0352,-1.9686,5.120
2.291010,3.9584,-2.2274,-1.5877,4.812
2.295496,3.8301,-2.4407,-1.2934,4.722
2.300762,4.0356,-2.5994,-0.9277,4.889
2.306207,4.3983,-2.7978,-0.4618,5.233
2.311153,4.7346,-2.9911,0.3076,5.609
2.316023,4.9005,-3.2639,1.4328,6.060
2.321447,4.8860,-3.5554,2.5332,6.552
2.325913,4.9128,-3.8777,3.3316,7.090
2.331141,5.0717,-4.2062,3.7881,7.600
2.336642,5.1279,-4.4434,3.9772,7.865
2.341616,4.8181,-4.7213,3.7915,7.738
2.346107,4.2236,-4.8552,3.4325,7.293
2.352375,3.5242,-4.8206,2.9386,6.655
2.356965,3.0796,-4.6443,1.8361,5.867
2.361188,2.8176,-4.3877,0.0894,5.215
2.366357,2.7593,-4.2237,-1.4571,5.251
2.372193,2.5441,-4.0911,-2.5916,5.470
2.376207,2.0275,-3.9003,-2.9707,5.306
2.381478,1.1443,-3.6333,-2.6676,4.650
2.386605,0.2518,-3.4490,-1.6852,3.847
2.392267,-0.7765,-3.4301,0.0052,3.517
2.396627,-2.0220,-3.1292,2.1384,4.296
2.401792,-2.8459,-2.7101,4.4739,5.955
2.406826,-2.6581,-2.5620,6.5435,7.513
2.412161,-1.7236,-2.6788,7.9032,8.521
2.416803,-0.9582,-2.6892,8.5590,9.023
2.422035,-1.2704,-2.5079,7.8921,8.378
2.426778,-2.1260,-2.4836,5.3962,6.309
2.433100,-2.7481,-2.6820,2.1329,4.392
2.437202,-3.9532,-2.6466,-1.2755,4.925
2.442082,-6.5497,-2.0553,-5.4413,8.760
2.447095,-9.4322,-1.5067,-9.0892,13.185
2.452980,-12.9378,-0.8569,-10.0731,16.419
2.458229,-17.8889,0.7228,-9.7968,20.409
2.462168,-23.1957,2.6931,-9.6307,25.260
2.467292,-27.1111,4.1450,-8.7490,28.788
2.472683,-30.3658,5.6517,-6.7322,31.612
2.477250,-33.0490,6.6318,-3.6387,33.904
2.486285,-34.3058,6.4105,0.2981,34.901
2.487460,-33.9012,5.6217,4.6132,34.672
2.493493,-30.3024,3.5586,9.6187,31.991
2.497435,-21.8582,-0.8894,13.5482,25.732
2.502525,-10.1555,-4.5846,15.2866,18.916
2.508214,1.6510,-7.1520,15.1384,16.824
2.512762,9.2491,-10.1396,11.0100,17.595
2.517970,15.5299,-15.6793,3.7567,22.386
2.522895,18.1399,-21.8385,-0.7581,28.400
2.527718,13.9984,-27.1356,2.3335,30.623
2.533553,7.1713,-33.1337,10.8812,35.604
2.537921,-3.6825,-35.3429,19.2058,40.392
2.543225,-18.8187,-30.1159,22.5259,42.054
2.547886,-32.5481,-20.7139,22.2012,44.512
2.553739,-43.1654,-10.4531,19.8884,48.663
2.558228,-55.3610,3.2932,18.5639,58.483
2.563055,-65.2574,16.4171,17.2638,69.470
2.568531,-57.9711,17.8172,11.7065,61.767
2.573968,-37.1974,11.0862,10.4233,40.190
2.579216,-20.4058,7.8052,14.4018,26.167
2.583563,-11.8094,8.4736,14.6201,20.616
2.588149,-6.3587,8.6271,9.9381,14.616
2.593399,-4.0306,8.9176,4.3233,10.699
2.597929,-2.6282,10.3402,-1.2756,10.745
2.603759,1.8055,9.6101,-9.1508,13.392
2.608660,8.2651,8.1411,-19.7953,22.944
2.613994,15.7822,6.6728,-31.0773,35.488
2.618907,21.1765,5.3194,-41.0582,46.503
2.623796,22.5055,4.2795,-47.6672,52.886
2.628766,21.5224,2.4096,-49.7343,54.245
2.636716,19.7266,-1.0527,-47.1772,51.146
2.640404,16.7841,-5.2859,-39.2949,43.055
2.644005,11.6401,-8.5220,-26.5233,30.193
2.650502,3.7673,-9.9319,-10.5599,14.978
2.654210,-6.0586,-9.7226,6.3014,13.075
2.659213,-15.7576,-8.6650,21.3569,27.920
2.664056,-23.5042,-7.8806,30.8296,39.560
2.669598,-28.0872,-7.8090,34.1975,44.937
2.675369,-29.5429,-8.3414,32.9913,45.064
2.679920,-28.6581,-9.1654,27.7485,40.930
2.683778,-26.5076,-9.4169,21.4470,35.374
2.689657,-23.7075,-8.8458,16.7925,30.369
2.694141,-20.3225,-7.8424,12.0192,24.879
2.698857,-16.6976,-6.2690,7.9811,19.540
2.704665,-12.6062,-4.3837,6.2122,14.722
2.709586,-7.8721,-2.5449,4.5983,9.465
2.714113,-2.4894,-1.2177,2.6728,3.850
2.720351,2.3879,-0.2737,0.5358,2.463
2.724428,5.9873,0.4892,-2.0248,6.339
2.729539,8.1224,1.2635,-5.0806,9.663
2.735101,9.0550,2.0885,-8.2984,12.459
